log_time_s,publish_time_s,data
1765973719.740069,1765973719.7399049,297
1765973720.7400143,1765973720.739904,299
1765973721.7400587,1765973721.7399542,296
1765973722.7399938,1765973722.7398772,279
1765973723.740062,1765973723.7399344,308
1765973724.7399838,1765973724.7398741,316
1765973725.7400076,1765973725.739883,308
1765973726.7399921,1765973726.7398844,296
1765973727.7400095,1765973727.7399101,293
1765973728.7399855,1765973728.7398722,303
1765973729.7400198,1765973729.7399075,294
1765973730.7399733,1765973730.7398694,301
1765973731.7399535,1765973731.7398446,294
1765973732.7399676,1765973732.7398562,291
1765973733.7399683,1765973733.7398632,274
1765973734.7399802,1765973734.7398698,312
1765973735.7399852,1765973735.7398674,321
1765973736.739965,1765973736.7398624,308
1765973737.7399857,1765973737.739883,96
1765973738.739971,1765973738.7398694,106
1765973739.739972,1765973739.7398698,5
1765973740.7399871,1765973740.7398736,-72
1765973741.739945,1765973741.739832,6
1765973742.739982,1765973742.7398744,32
1765973743.7400007,1765973743.7398899,133
1765973744.7399862,1765973744.7398849,181
1765973745.7399766,1765973745.7398565,113
1765973746.740001,1765973746.739873,31
1765973747.740001,1765973747.7398655,109
1765973748.7399766,1765973748.739871,140
1765973749.7399735,1765973749.7398663,-88
1765973750.7399695,1765973750.739867,-47
1765973751.7399693,1765973751.739865,48
1765973752.7399857,1765973752.7398715,29
1765973753.739912,1765973753.7398162,120
1765973754.7399585,1765973754.739854,194
1765973755.739979,1765973755.7398772,90
1765973756.739966,1765973756.7398615,92
1765973757.7399788,1765973757.7398593,264
1765973758.7399592,1765973758.7398489,194
1765973759.7399442,1765973759.739841,-42
1765973760.739958,1765973760.7398562,-125
1765973761.7399702,1765973761.7398508,-131
1765973762.7399943,1765973762.739876,-122
1765973763.7400842,1765973763.7399719,6
1765973764.7400434,1765973764.7399127,18
1765973765.7403793,1765973765.7398589,38
1765973766.7399857,1765973766.7398722,166
1765973767.7399817,1765973767.7398562,291
1765973768.7400026,1765973768.7398784,96
1765973769.7399893,1765973769.739875,0
1765973770.7399852,1765973770.739862,0
1765973771.7399871,1765973771.739867,0
1765973772.740018,1765973772.7398846,0
1765973773.739992,1765973773.7398674,-66
1765973774.7399876,1765973774.7398677,-231
1765973775.739978,1765973775.7398639,-277
1765973776.7399917,1765973776.7398708,-286
1765973777.7400005,1765973777.7398686,-293
1765973778.7399876,1765973778.7398732,-281
1765973779.7399948,1765973779.739876,-33
1765973780.7399657,1765973780.7398608,0
1765973781.7399676,1765973781.7398674,0
1765973782.739966,1765973782.7398672,0
1765973783.7399654,1765973783.7398396,0
1765973784.7399218,1765973784.7398098,0
1765973785.7399218,1765973785.7398188,-17
1765973786.7399654,1765973786.7398598,-78
1765973787.7400496,1765973787.7399316,84
1765973788.7399943,1765973788.7398713,142
1765973789.7399805,1765973789.7398498,-45
1765973790.739925,1765973790.7398224,-92
1765973791.7400904,1765973791.7399867,63
1765973792.7400682,1765973792.739956,42
1765973793.7399664,1765973793.7398512,50
1765973794.7399764,1765973794.739867,113
1765973795.7400799,1765973795.7399662,146
1765973796.7400513,1765973796.7398953,191
1765973797.7400017,1765973797.7398713,87
1765973798.739961,1765973798.73985,79
1765973799.7400126,1765973799.7398844,118
1765973800.7400181,1765973800.7399158,25
1765973801.740018,1765973801.7399054,171
1765973802.74001,1765973802.7398899,-157
1765973803.7400076,1765973803.739875,-132
1765973804.7399864,1765973804.7398624,-280
1765973805.74,1765973805.7398703,-297
1765973806.7399824,1765973806.7398841,-294
1765973807.7399817,1765973807.7398682,-239
1765973808.7400177,1765973808.739905,-96
1765973809.7399795,1765973809.739867,-135
1765973810.740001,1765973810.7398617,27
1765973811.7400005,1765973811.7398922,8
1765973812.7399924,1765973812.7398858,64
1765973813.7400084,1765973813.739893,47
1765973814.7400477,1765973814.7399175,70
