"log_time_s","publish_time_s","data"
"1765972409.6161606","1765972409.616008","77"
"1765972410.616111","1765972410.6159654","57"
"1765972411.6160781","1765972411.6159508","149"
"1765972412.6160705","1765972412.615944","334"
"1765972413.6160965","1765972413.615948","396"
"1765972414.6161072","1765972414.6159728","266"
"1765972415.6160855","1765972415.6159587","2"
"1765972416.6161008","1765972416.6159534","0"
"1765972417.6160994","1765972417.6159675","0"
"1765972418.6160753","1765972418.61595","0"
"1765972419.6160617","1765972419.6159213","0"
"1765972420.6160827","1765972420.615944","0"
"1765972421.6160762","1765972421.6159456","0"
"1765972422.6161215","1765972422.6159725","0"
"1765972423.6160874","1765972423.6159503","0"
"1765972424.6160848","1765972424.6159494","0"
"1765972425.6160944","1765972425.6159444","0"
"1765972426.6160784","1765972426.615947","0"
"1765972427.6159997","1765972427.615883","4"
"1765972428.6161246","1765972428.6159754","152"
"1765972429.6161427","1765972429.6160114","341"
"1765972430.6161385","1765972430.6160038","390"
"1765972431.6161354","1765972431.6159859","-84"
"1765972432.6161277","1765972432.615991","47"
"1765972433.6180246","1765972433.617897","119"
"1765972434.6161065","1765972434.6159585","37"
"1765972435.6160915","1765972435.615956","135"
"1765972436.6160803","1765972436.6159465","21"
"1765972437.616099","1765972437.6159546","46"
"1765972438.6161","1765972438.6159678","31"
"1765972439.6160824","1765972439.6159463","8"
"1765972440.616064","1765972440.6159232","0"
"1765972441.6160722","1765972441.6159396","0"
"1765972442.6160903","1765972442.6159399","0"
"1765972443.6160886","1765972443.6159477","0"
"1765972444.616063","1765972444.6159341","0"
"1765972445.6160939","1765972445.6159635","0"
"1765972446.616089","1765972446.6159456","0"
"1765972447.616068","1765972447.615945","0"
"1765972448.6160743","1765972448.6159484","0"
"1765972449.6160803","1765972449.615939","0"
"1765972450.6161113","1765972450.6159763","0"
"1765972451.6160855","1765972451.6159582","0"
"1765972452.616094","1765972452.6159449","0"
"1765972453.6160681","1765972453.6159449","0"
"1765972454.6160412","1765972454.615917","0"
"1765972455.6160796","1765972455.615939","0"
"1765972456.6160684","1765972456.6159422","0"
"1765972457.6160781","1765972457.6159458","0"
"1765972458.6160665","1765972458.615924","0"
"1765972459.616074","1765972459.6159506","0"
"1765972460.6159701","1765972460.6158404","0"
"1765972461.6160724","1765972461.6159227","0"
"1765972462.6161246","1765972462.615969","0"
"1765972463.6160994","1765972463.6159613","0"
"1765972464.6160843","1765972464.6159394","0"
"1765972465.6160874","1765972465.6159582","0"
"1765972466.6160827","1765972466.6159525","0"
"1765972467.6161056","1765972467.6159623","0"
"1765972468.6160638","1765972468.615929","0"
"1765972469.6160843","1765972469.6159532","0"
"1765972470.6161022","1765972470.615954","0"
"1765972471.6160715","1765972471.6159382","0"
"1765972472.6160784","1765972472.615953","0"
"1765972473.616085","1765972473.6159406","0"
"1765972474.6160696","1765972474.615946","0"
"1765972475.616063","1765972475.6159346","0"
"1765972476.6160934","1765972476.6159458","0"
"1765972477.6160831","1765972477.615947","0"
"1765972478.6161067","1765972478.6159651","0"
"1765972479.6160896","1765972479.6159468","0"
"1765972480.6160848","1765972480.615955","0"
"1765972481.6160948","1765972481.615962","0"
"1765972482.6160758","1765972482.615931","0"
"1765972483.6160607","1765972483.6159258","0"
"1765972484.616073","1765972484.6159468","0"
"1765972485.6160872","1765972485.615942","0"
"1765972486.6161087","1765972486.6159804","0"
"1765972487.616085","1765972487.61596","0"
"1765972488.616093","1765972488.615948","0"
"1765972489.616066","1765972489.6159291","0"
"1765972490.6160789","1765972490.6159503","0"
"1765972491.6161213","1765972491.6159642","0"
"1765972492.6160822","1765972492.6159577","0"
"1765972493.617906","1765972493.616995","0"
"1765972494.6161172","1765972494.6159718","0"
"1765972495.6168053","1765972495.6165626","0"
"1765972496.6160512","1765972496.6159265","0"
"1765972497.6161075","1765972497.6159604","0"
"1765972498.6160638","1765972498.6159365","0"
"1765972499.6160836","1765972499.615958","0"
"1765972500.6161137","1765972500.6159513","0"
"1765972501.6161366","1765972501.6159744","0"
"1765972502.6161385","1765972502.616003","0"
"1765972503.6161175","1765972503.61597","33"
"1765972504.6160862","1765972504.6159549","54"
