"log_time_s","publish_time_s","data"
"1765972393.6161294","1765972393.6160734","271"
"1765972394.6161528","1765972394.6161048","58"
"1765972395.616126","1765972395.6160727","35"
"1765972396.6161213","1765972396.61607","-59"
"1765972397.6161346","1765972397.6160827","-45"
"1765972398.6161108","1765972398.6160576","-32"
"1765972399.616111","1765972399.6160607","-17"
"1765972400.6161237","1765972400.6160846","-48"
"1765972401.6161385","1765972401.6160824","45"
"1765972402.6161492","1765972402.6160975","31"
"1765972403.6161406","1765972403.6160727","59"
"1765972404.6161067","1765972404.6160536","185"
"1765972405.6161299","1765972405.6160822","172"
"1765972406.616129","1765972406.6160843","334"
"1765972407.616136","1765972407.6160853","370"
"1765972408.6161227","1765972408.6160724","398"
"1765972409.6161993","1765972409.616137","-98"
"1765972410.6161444","1765972410.6160886","54"
"1765972411.6161113","1765972411.6160612","158"
"1765972412.6160996","1765972412.6160536","345"
"1765972413.6161323","1765972413.6160717","384"
"1765972414.61614","1765972414.6160886","260"
"1765972415.616116","1765972415.616073","1"
"1765972416.6161344","1765972416.6160755","0"
"1765972417.616132","1765972417.6160784","0"
"1765972418.6161053","1765972418.6160607","0"
"1765972419.616094","1765972419.6160393","0"
"1765972420.6161156","1765972420.616058","0"
"1765972421.6161077","1765972421.6160553","0"
"1765972422.616156","1765972422.6160939","0"
"1765972423.6161187","1765972423.6160645","0"
"1765972424.6161156","1765972424.6160624","0"
"1765972425.6161268","1765972425.6160665","0"
"1765972426.6161082","1765972426.61606","0"
"1765972427.6160269","1765972427.6159728","1"
"1765972428.6161606","1765972428.6160996","110"
"1765972429.6161757","1765972429.6161232","263"
"1765972430.616168","1765972430.6161194","394"
"1765972431.6161678","1765972431.616109","183"
"1765972432.6161594","1765972432.6161053","43"
"1765972433.6180573","1765972433.618008","189"
"1765972434.6161394","1765972434.616079","16"
"1765972435.6161234","1765972435.616066","168"
"1765972436.6161118","1765972436.6160595","31"
"1765972437.6161323","1765972437.6160707","27"
"1765972438.616133","1765972438.6160777","33"
"1765972439.6161146","1765972439.6160588","5"
"1765972440.6160963","1765972440.6160421","0"
"1765972441.6161041","1765972441.6160486","0"
"1765972442.6161227","1765972442.616051","0"
"1765972443.6161497","1765972443.6160648","0"
"1765972444.616093","1765972444.6160421","0"
"1765972445.6161263","1765972445.616077","0"
"1765972446.616125","1765972446.6160674","0"
"1765972447.6160984","1765972447.6160486","0"
"1765972448.6161053","1765972448.6160605","0"
"1765972449.616113","1765972449.6160588","0"
"1765972450.6161413","1765972450.616092","0"
"1765972451.6161137","1765972451.6160734","0"
"1765972452.6161275","1765972452.61607","0"
"1765972453.6160972","1765972453.6160512","0"
"1765972454.6160707","1765972454.6160245","0"
"1765972455.6161125","1765972455.616054","0"
"1765972456.6161013","1765972456.6160476","0"
"1765972457.6161108","1765972457.6160603","0"
"1765972458.616099","1765972458.6160448","0"
"1765972459.6161034","1765972459.6160605","0"
"1765972460.6160245","1765972460.6159549","0"
"1765972461.6161063","1765972461.616045","0"
"1765972462.6161578","1765972462.6160843","0"
"1765972463.6161315","1765972463.616075","0"
"1765972464.6161184","1765972464.6160595","0"
"1765972465.61612","1765972465.6160688","0"
"1765972466.6161144","1765972466.6160662","0"
"1765972467.616139","1765972467.6160831","0"
"1765972468.616096","1765972468.6160407","0"
"1765972469.6161156","1765972469.6160672","0"
"1765972470.6161368","1765972470.6160753","0"
"1765972471.6161048","1765972471.6160524","0"
"1765972472.6161096","1765972472.616063","0"
"1765972473.6161172","1765972473.6160593","0"
"1765972474.6160996","1765972474.616051","0"
"1765972475.6160927","1765972475.6160438","0"
"1765972476.616127","1765972476.6160655","0"
"1765972477.616115","1765972477.6160593","0"
"1765972478.6161413","1765972478.6160824","0"
"1765972479.6161253","1765972479.6160645","0"
"1765972480.6161168","1765972480.6160626","0"
"1765972481.6161244","1765972481.6160793","0"
"1765972482.616129","1765972482.6160471","0"
"1765972483.6160948","1765972483.6160376","0"
"1765972484.6161056","1765972484.616059","0"
"1765972485.616122","1765972485.6160607","0"
"1765972486.6161404","1765972486.616089","0"
"1765972487.6161163","1765972487.6160693","0"
"1765972488.6161282","1765972488.616068","0"
"1765972489.6160989","1765972489.6160395","0"
"1765972490.6161096","1765972490.6160617","0"
"1765972491.6161609","1765972491.616092","0"
"1765972492.6161141","1765972492.6160643","0"
"1765972493.6179159","1765972493.6171072","0"
"1765972494.6161516","1765972494.6160936","0"
"1765972495.6168158","1765972495.6166713","0"
"1765972496.6160824","1765972496.616034","0"
"1765972497.6161404","1765972497.6160817","0"
"1765972498.6160948","1765972498.6160467","0"
"1765972499.6161146","1765972499.616068","0"
"1765972500.6161563","1765972500.6160777","0"
"1765972501.6161678","1765972501.6160874","0"
"1765972502.6161697","1765972502.6161196","0"
"1765972503.6161518","1765972503.616093","36"
"1765972504.6161168","1765972504.6160684","55"
"1765972505.616141","1765972505.616101","35"
"1765972506.616169","1765972506.6161077","9"
"1765972507.616661","1765972507.6160924","-34"
"1765972508.6161797","1765972508.6161304","8"
"1765972509.6161823","1765972509.6161232","4"
"1765972510.616173","1765972510.6161237","0"
"1765972511.616144","1765972511.6160996","-4"
"1765972512.6161816","1765972512.6161194","-99"
"1765972513.6161528","1765972513.6160996","56"
"1765972514.6161885","1765972514.6161337","236"
"1765972515.6161716","1765972515.6161215","267"
"1765972516.6161592","1765972516.6161144","48"
"1765972517.6161804","1765972517.616133","68"
"1765972518.6161742","1765972518.6161244","130"
"1765972519.6161735","1765972519.6161244","64"
"1765972520.6162188","1765972520.6161702","79"
"1765972521.616195","1765972521.6161323","251"
"1765972522.6161537","1765972522.6161013","220"
"1765972523.6161828","1765972523.6161346","271"
"1765972524.6161783","1765972524.6161165","106"
"1765972525.616188","1765972525.6161299","-93"
"1765972526.6161296","1765972526.6160765","-49"
"1765972527.6161408","1765972527.6160815","-5"
"1765972528.616132","1765972528.6160786","22"
"1765972529.6161337","1765972529.6160822","7"
"1765972530.6161172","1765972530.6160607","2"
"1765972531.6161163","1765972531.6160607","93"
"1765972532.6161237","1765972532.6160762","267"
"1765972533.6161547","1765972533.616096","246"
"1765972534.6162014","1765972534.6161416","252"
"1765972535.6161556","1765972535.6161046","143"
"1765972536.616167","1765972536.6161082","83"
"1765972537.6161633","1765972537.6161048","-13"
"1765972538.616094","1765972538.6160421","64"
"1765972539.616127","1765972539.6160643","-67"
"1765972540.616228","1765972540.6161845","29"
"1765972541.6162307","1765972541.6161866","39"
