"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1780308267.5819728","1780308267.5818791","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308267.583364","1780308267.5828478","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 14803","ST"
"1780308268.8944876","1780308268.8943753","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 806","ST"
"1780308282.8517675","1780308282.8516564","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308282.8529508","1780308282.8528433","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 9017","ST"
"1780308287.8943717","1780308287.8942761","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308292.3400536","1780308292.3399508","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308292.340959","1780308292.3408728","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 10405","ST"
"1780308293.894641","1780308293.8945518","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 753","ST"
"1780308303.2150633","1780308303.2149742","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308303.2159696","1780308303.215882","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 14676","ST"
"1780308307.894389","1780308307.8943026","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308318.3622084","1780308318.3621097","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308318.36335","1780308318.363026","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 8172","ST"
"1780308322.8944542","1780308322.894344","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308327.0007646","1780308327.0006616","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308327.0017207","1780308327.0016303","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 8309","ST"
"1780308327.8945763","1780308327.8944836","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 525","ST"
"1780308335.7815123","1780308335.7814202","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308335.7824535","1780308335.7823706","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 13841","ST"
"1780308340.8944123","1780308340.8943217","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308350.0911725","1780308350.0910742","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308350.0920663","1780308350.0919847","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 7319","ST"
"1780308354.894345","1780308354.8942597","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308357.876351","1780308357.8762474","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308357.8773053","1780308357.8772125","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 13954","ST"
"1780308362.894571","1780308362.8944705","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308372.299918","1780308372.2998195","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308372.3014078","1780308372.300777","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 12585","ST"
"1780308376.8944697","1780308376.8943577","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308385.3563912","1780308385.3562806","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308385.3573492","1780308385.3572485","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 11342","ST"
"1780308389.894416","1780308389.894325","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308397.170032","1780308397.1699357","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308397.1709545","1780308397.1708584","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 10329","ST"
"1780308397.8946042","1780308397.8944914","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 502","ST"
"1780308407.970307","1780308407.9702082","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308407.9712076","1780308407.9711196","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 13346","ST"
"1780308412.8944602","1780308412.894359","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308421.7842112","1780308421.7840974","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308421.7852259","1780308421.7851338","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 12567","ST"
"1780308426.8944757","1780308426.8943746","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308434.81748","1780308434.817381","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308434.8184502","1780308434.8183532","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 8038","ST"
"1780308439.8944628","1780308439.8943644","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308443.3261757","1780308443.326059","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""0""","ST"
"1780308443.3272195","1780308443.3271217","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 9395","ST"
"1780308447.8944685","1780308447.8943636","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","221"," Timeout (ms): 5000","ST"
"1780308453.1932263","1780308453.1931236","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_callback","20","248","Publicado: ""1""","ST"
"1780308453.1941605","1780308453.194076","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","207","Dato publicado ST (ms): 13436","ST"
"1780308453.8945749","1780308453.894497","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","231","Dato medido ST (ms): 673","ST"
"1780308456.954696","1780308456.9543555","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/movilNode.py","timer_callback","20","300","Dato publicado Fase Ejecucion: 30","Movil"
"1780308456.9548373","1780308456.9547474","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subMovilEjecucion","20","324","Comando Movil Ejecucion: 30","mainNode"
