"log_time_s","publish_time_s","data"
"1781507917.9306796","1781507917.9305897","-158"
"1781507918.9307003","1781507918.930614","-238"
"1781507919.9306693","1781507919.9305665","-237"
"1781507920.9306757","1781507920.9305804","-232"
"1781507921.930686","1781507921.930599","58"
"1781507922.9306583","1781507922.9305582","0"
"1781507923.9306703","1781507923.9305768","0"
"1781507924.9306645","1781507924.930582","0"
"1781507925.93075","1781507925.9306576","0"
"1781507926.9306982","1781507926.9306111","0"
"1781507927.9308167","1781507927.9307294","0"
"1781507928.9307532","1781507928.9306552","0"
"1781507929.9309633","1781507929.9308734","0"
"1781507930.9307303","1781507930.9306426","0"
"1781507931.930781","1781507931.9306736","0"
"1781507932.9307566","1781507932.930658","0"
"1781507933.9307668","1781507933.9306912","0"
"1781507934.9307885","1781507934.9306846","0"
"1781507935.9307325","1781507935.930636","0"
"1781507936.9307497","1781507936.930648","0"
"1781507937.931735","1781507937.9307234","0"
"1781507938.9306648","1781507938.9305809","36"
"1781507939.9306288","1781507939.9305499","170"
"1781507940.930681","1781507940.930582","211"
"1781507941.9306638","1781507941.93058","209"
"1781507942.9306607","1781507942.9305768","206"
"1781507943.930625","1781507943.9305348","204"
"1781507944.9306753","1781507944.9305837","72"
"1781507945.9306676","1781507945.930584","0"
"1781507946.9306564","1781507946.9305646","0"
"1781507947.9305873","1781507947.9305089","0"
"1781507948.930665","1781507948.930576","0"
"1781507949.9306788","1781507949.9305844","0"
"1781507950.9306731","1781507950.9305863","0"
"1781507951.9306529","1781507951.9305794","0"
"1781507952.930674","1781507952.9305758","0"
"1781507953.9306762","1781507953.9305859","0"
"1781507954.9306774","1781507954.9305956","0"
"1781507955.9306684","1781507955.9305787","0"
"1781507956.9306824","1781507956.9305964","0"
"1781507957.9306612","1781507957.9305859","39"
"1781507958.9306471","1781507958.9305513","168"
"1781507959.930688","1781507959.9305983","35"
"1781507960.930653","1781507960.93058","0"
"1781507961.9306808","1781507961.9305813","0"
"1781507962.9306672","1781507962.9305825","0"
"1781507963.9306626","1781507963.9305768","0"
"1781507964.9305987","1781507964.9305115","0"
"1781507965.93066","1781507965.930568","0"
"1781507966.9306755","1781507966.9305885","0"
"1781507967.93068","1781507967.930581","0"
"1781507968.9306753","1781507968.9305894","0"
"1781507969.9307213","1781507969.9306762","0"
"1781507970.9306753","1781507970.930581","0"
"1781507971.9306793","1781507971.930588","0"
"1781507972.9306703","1781507972.9305859","-36"
"1781507973.9306855","1781507973.930595","-130"
"1781507974.9306695","1781507974.9305809","-174"
"1781507975.9307415","1781507975.9306557","-143"
"1781507976.9306855","1781507976.9305894","1"
"1781507977.93064","1781507977.9305522","0"
"1781507978.9306462","1781507978.930567","0"
"1781507979.93066","1781507979.930573","0"
"1781507980.9306676","1781507980.93058","0"
"1781507981.9306335","1781507981.9305558","0"
"1781507982.9306834","1781507982.930642","0"
"1781507983.9306684","1781507983.9305794","0"
"1781507984.930662","1781507984.9305823","0"
"1781507985.9307227","1781507985.9306076","0"
"1781507986.9306698","1781507986.9305813","23"
"1781507987.930652","1781507987.9305744","101"
"1781507988.9306183","1781507988.9305768","101"
"1781507989.9306757","1781507989.9305904","103"
"1781507990.9306612","1781507990.930583","103"
"1781507991.9306808","1781507991.930579","102"
"1781507992.9306688","1781507992.9305813","64"
"1781507993.9306579","1781507993.9305847","0"
"1781507994.9306235","1781507994.930536","0"
"1781507995.9306667","1781507995.9305844","0"
"1781507996.9306653","1781507996.93058","0"
"1781507997.9306662","1781507997.9305751","0"
"1781507998.930611","1781507998.9305212","0"
"1781507999.9306607","1781507999.9305859","0"
"1781508000.9306679","1781508000.9305766","0"
"1781508001.930666","1781508001.9305782","0"
"1781508002.930668","1781508002.930592","0"
"1781508003.9313817","1781508003.9306564","0"
"1781508004.9306638","1781508004.9305775","3"
"1781508005.9307551","1781508005.9306722","97"
"1781508006.9306376","1781508006.9305696","210"
"1781508007.9307969","1781508007.9307094","208"
"1781508008.930668","1781508008.9305868","209"
"1781508009.930623","1781508009.930582","157"
"1781508010.9306753","1781508010.930601","1"
"1781508011.9306483","1781508011.9305723","0"
"1781508012.9307137","1781508012.9306116","0"
"1781508013.930762","1781508013.9306526","0"
"1781508014.930717","1781508014.9306045","0"
"1781508015.9307544","1781508015.930644","3"
"1781508016.9306738","1781508016.9305859","109"
"1781508017.9306464","1781508017.9305694","193"
"1781508018.9306684","1781508018.9305816","53"
"1781508019.930647","1781508019.9305625","0"
"1781508020.930648","1781508020.93057","0"
"1781508021.9306834","1781508021.930592","0"
"1781508022.930673","1781508022.9305837","0"
"1781508023.9306626","1781508023.9305873","0"
"1781508024.9312928","1781508024.9305825","0"
"1781508025.9306703","1781508025.930582","0"
