timestamp_s;topic;value
1781508616.931425;right_wheel_steps;0
1781508617.9313984;left_wheel_steps;0
1781508617.9317083;right_wheel_steps;0
1781508618.9311686;left_wheel_steps;0
1781508618.9314282;right_wheel_steps;0
1781508619.9311683;left_wheel_steps;0
1781508619.9314387;right_wheel_steps;0
1781508620.9312515;left_wheel_steps;0
1781508620.9315386;right_wheel_steps;0
1781508621.9311767;left_wheel_steps;0
1781508621.9314501;right_wheel_steps;0
1781508622.9311423;left_wheel_steps;0
1781508622.9314015;right_wheel_steps;0
1781508623.9312391;left_wheel_steps;0
1781508623.9315567;right_wheel_steps;0
1781508624.931156;left_wheel_steps;0
1781508624.9314084;right_wheel_steps;0
1781508625.9311373;left_wheel_steps;0
1781508625.9313934;right_wheel_steps;0
1781508626.9312851;left_wheel_steps;0
1781508626.9316192;right_wheel_steps;0
1781508627.9311633;left_wheel_steps;0
1781508627.9314282;right_wheel_steps;0
1781508628.9311395;left_wheel_steps;0
1781508628.9313953;right_wheel_steps;0
1781508629.9311879;left_wheel_steps;0
1781508629.9315069;right_wheel_steps;0
1781508630.9311707;left_wheel_steps;0
1781508630.93144;right_wheel_steps;0
1781508631.9313214;left_wheel_steps;0
1781508631.931568;right_wheel_steps;0
1781508632.9312143;left_wheel_steps;0
1781508632.931527;right_wheel_steps;0
1781508633.9312377;left_wheel_steps;0
1781508633.931476;right_wheel_steps;0
1781508634.9311311;left_wheel_steps;0
1781508634.93139;right_wheel_steps;0
1781508635.9313643;left_wheel_steps;0
1781508635.931645;right_wheel_steps;0
1781508636.9311662;left_wheel_steps;0
1781508636.9314203;right_wheel_steps;0
1781508637.9311354;left_wheel_steps;0
1781508637.9313836;right_wheel_steps;0
1781508638.9311619;left_wheel_steps;0
1781508638.9314616;right_wheel_steps;0
1781508639.9311893;left_wheel_steps;0
1781508639.931456;right_wheel_steps;0
1781508640.9311416;left_wheel_steps;0
1781508640.931381;right_wheel_steps;0
1781508641.9311943;left_wheel_steps;0
1781508641.9314568;right_wheel_steps;0
1781508642.931066;left_wheel_steps;0
1781508642.9312754;right_wheel_steps;0
1781508643.9313333;left_wheel_steps;0
1781508643.931582;right_wheel_steps;0
1781508644.9312286;left_wheel_steps;0
1781508644.9315262;right_wheel_steps;0
1781508645.931218;left_wheel_steps;0
1781508645.931455;right_wheel_steps;0
1781508646.9311862;left_wheel_steps;0
1781508646.9314327;right_wheel_steps;0
1781508647.9312418;left_wheel_steps;0
1781508647.9315057;right_wheel_steps;0
1781508648.93119;left_wheel_steps;0
1781508648.931453;right_wheel_steps;0
1781508649.9311824;left_wheel_steps;0
1781508649.931427;right_wheel_steps;0
1781508650.9312804;left_wheel_steps;0
1781508650.9315088;right_wheel_steps;0
1781508651.9312387;left_wheel_steps;0
1781508651.931472;right_wheel_steps;0
1781508652.931136;left_wheel_steps;0
1781508652.9313853;right_wheel_steps;0
1781508653.931165;left_wheel_steps;0
1781508653.9314222;right_wheel_steps;0
1781508654.9311557;left_wheel_steps;0
1781508654.9314137;right_wheel_steps;0
1781508655.9311805;left_wheel_steps;0
1781508655.9314442;right_wheel_steps;0
1781508656.9311738;left_wheel_steps;0
1781508656.9314344;right_wheel_steps;0
1781508657.9311378;left_wheel_steps;0
1781508657.931389;right_wheel_steps;0
1781508658.9311333;left_wheel_steps;0
1781508658.9313848;right_wheel_steps;0
1781508659.9312918;left_wheel_steps;0
1781508659.9315379;right_wheel_steps;0
1781508660.9311628;left_wheel_steps;0
1781508660.9314256;right_wheel_steps;0
1781508661.9311268;left_wheel_steps;0
1781508661.9313667;right_wheel_steps;0
1781508662.9311526;left_wheel_steps;0
1781508662.931416;right_wheel_steps;0
1781508663.9313214;left_wheel_steps;0
1781508663.931615;right_wheel_steps;0
1781508664.9311671;left_wheel_steps;0
1781508664.9314394;right_wheel_steps;0
1781508665.931182;left_wheel_steps;0
1781508665.9314423;right_wheel_steps;0
1781508666.9311416;left_wheel_steps;0
1781508666.9313953;right_wheel_steps;0
1781508667.9311857;left_wheel_steps;0
1781508667.9314537;right_wheel_steps;0
1781508668.9311838;left_wheel_steps;0
1781508668.9314861;right_wheel_steps;0
1781508669.9311368;left_wheel_steps;0
1781508669.9313974;right_wheel_steps;0
1781508670.9311337;left_wheel_steps;0
1781508670.9313977;right_wheel_steps;0
1781508671.9311635;left_wheel_steps;0
1781508671.93143;right_wheel_steps;0
1781508672.931132;left_wheel_steps;0
1781508672.931387;right_wheel_steps;0
