"log_time_s","publish_time_s","file","function","level","line","msg","name"
"1765972943.9449642","1765972943.9448795","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","start_random_timer","20","180","Dato publicado ST: 11.078193237036933","ST"
"1765972943.9561863","1765972943.9560683","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972944.0529945","1765972944.0529091","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/secondarytaskNode.py","timer_lectura","20","203","Dato medido ST: 0.009116888046264648","ST"
"1765972944.3646338","1765972944.3645308","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 9","JoystickBluetooth"
"1765972944.3649745","1765972944.364865","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 9","mainNode"
"1765972944.36666","1765972944.366536","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972944.6689982","1765972944.6688976","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972945.077067","1765972945.0769598","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 0","JoystickBluetooth"
"1765972945.0773673","1765972945.0772567","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 0","mainNode"
"1765972945.0790088","1765972945.078883","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
"1765972945.3813994","1765972945.381258","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_handleServiceResponse","20","142","Estoy en el servicio llamado desde mainNode","mainNode"
"1765972945.8646863","1765972945.8645806","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/jBNode.py","jb_callback","20","38","Comando Joystick Bluetooth: 3","JoystickBluetooth"
"1765972945.8649256","1765972945.8648062","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/mainNode.py","callback_subJoy","20","82","Comando Joystick Bluetooth: 3","mainNode"
"1765972945.8665404","1765972945.8664155","/home/samuchair/ros2_ws/install/samuchair/lib/python3.12/site-packages/samuchair/arduinoNode.py","handle_joystick_silla","20","61","Enviando comando al Arduino: velocidad","Joystick"
