Sujeto,Exp,Modo,Logger,Fase,Tini,Tfinal,Duracion,Jerk,Distancia,Mv,Me,Mo,RT,Ec,Eo
SUJ3,0,2,False,0.0,0.0,1783416933.5578003,1783416933.5578003,172.88811552700633,248.43143505923794,0.30758261222465355,2.301599351708453,2.301599351708453,0,0,0
SUJ4;0;2;False;3.0;1783929833.3566003;1783929843.357319;10.000718832015991;171.22332409275708;226.56309419693153;0.8370897962026632;8.134363046556626;8.134363046556626;0;0;0
SUJ4;0;2;False;4.0;1783929846.8566427;1783929859.8565683;12.99992561340332;98.35839067766432;301.4643750451551;0.6871265089353135;1.1063499820714435;1.1063499820714435;0;0;0
SUJ4;0;2;False;5.0;1783929867.8565726;1783929882.3584125;14.501839876174927;125.863775401277;312.0001344079667;2.5788272090033777;12.087766394919457;-12.087766394919457;0;0;0
SUJ4;0;2;False;6.0;1783929884.35666;1783929894.857326;10.50066614151001;83.83347185311686;139.88655288438915;3.2610096104357735;1.8982005006968257;-1.041938692789582;0;0;0
SUJ4;0;2;False;7.0;1783929896.8573248;1783929903.8565085;6.999183654785156;116.5009004829448;139.2668023336355;0.22501546724038077;0.3852513781058608;-0.3852513781058608;0;0;0
SUJ4;0;2;False;8.0;1783929906.3583183;1783929919.8581357;13.499817371368408;122.61953601547111;268.7946674411426;2.7686045550237353;1.4437183796044124;-1.2550680569556143;0;0;0
SUJ4;0;2;False;9.0;1783929921.8565729;1783929943.3573208;21.50074791908264;45.635261290389494;78.44271256681567;1.7609680124692326;1.8600311453352865;-1.8600311453352865;0;0;0
SUJ4;0;2;False;10.0;1783929948.3573189;1783929958.3573198;10.000000953674316;111.09656518981427;216.73562117783837;0.6904343665667131;8.375664683402908;8.375664683402908;0;0;0
SUJ4;1;0;True;0.0;1783934241.1259327;1783934379.6265757;138.50064301490784;37.77951173566261;5964.036621488041;0;0;0;0.7168000000000001;2;0
SUJ4;1;0;False;0.0;0.0;1783934379.6279423;1783934379.6279423;38.057782145875144;5964.036621488041;0;0;0;0.7168000000000001;2;0
SUJ4;1;2;False;0.0;0.0;1783934917.1253982;1783934917.1253982;26.091849230252244;7403.008864544989;0;0;0;0.765;0;1
SUJ4;1;2;True;0.0;1783934695.6276147;1783934917.127077;221.49946236610413;25.39975357100563;7403.00886454499;0;0;0;0.765;0;1
SUJ4;1;3;True;0.0;1783933839.1276448;1783934225.1260002;385.99835538864136;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.7605;0;1
SUJ4;1;3;False;0.0;0.0;1783934225.1271465;1783934225.1271465;0.0;0.0;0;0;0;0.706;0;0
SUJ4;1;2;False;0.0;0.0;1783934917.1253982;1783934917.1253982;26.091849230252244;7403.008864544989;0;0;0;0.7175;7;7
SUJ4;1;2;True;0.0;1783934695.6276147;1783934917.127077;221.49946236610413;25.39975357100563;7403.00886454499;0;0;0;0.7175;7;7
SUJ4;1;0;True;0.0;1783934241.1259327;1783934379.6265757;138.50064301490784;37.77951173566261;5964.036621488041;0;0;0;0.8995;3;1
SUJ4;1;1;False;0.0;0.0;1783934679.1254487;1783934679.1254487;61.974150838040366;5233.085114770625;0;0;0;0.8226363636363636;0;0
SUJ4;1;0;False;0.0;0.0;1783934379.6279423;1783934379.6279423;38.057782145875144;5964.036621488041;0;0;0;0.8995;3;1
SUJ4;1;0;True;0.0;1783934241.1259327;1783934379.6265757;138.50064301490784;37.77951173566261;5964.036621488041;0;0;0;0.8995;3;1
SUJ5;1;2;True;0.0;1784186965.6735857;1784187234.1709893;268.4974036216736;30.17068182167558;7825.855811744889;0;0;0;0;0;7
SUJ5;1;2;False;0.0;0.0;1784187234.1704197;1784187234.1704197;30.282932247889594;7825.855811744888;0;0;0;0;0;7
SUJ5;1;3;False;0.0;0.0;1784187622.7051425;1784187622.7051425;0.0;0.0;0;0;0;0.4835;0;0
SUJ5;1;3;True;0.0;1784187582.2033472;1784187622.7036543;40.50030708312988;0.0;0.0;0;0;0;0.481;1;1
